iter	Passed	Remaining
0	3	3105
1	5	2840
2	8	2870
3	11	2882
4	14	2889
5	17	2953
6	20	2887
7	35	4397
8	44	4933
9	48	4831
10	52	4675
11	54	4516
12	57	4355
13	59	4181
14	61	4041
15	64	3982
16	67	3902
17	69	3798
18	71	3714
19	74	3642
20	77	3594
21	80	3560
22	82	3521
23	85	3484
24	88	3440
25	91	3415
26	95	3424
27	97	3380
28	101	3387
29	104	3385
30	107	3345
31	110	3340
32	113	3332
33	116	3312
34	119	3285
35	121	3263
36	125	3257
37	128	3254
38	131	3229
39	134	3221
40	137	3208
41	140	3209
42	144	3225
43	148	3224
44	150	3203
45	153	3188
46	156	3173
47	158	3151
48	162	3148
49	165	3137
50	167	3119
51	170	3104
52	173	3096
53	176	3097
54	180	3097
55	182	3080
56	185	3067
57	188	3067
58	192	3066
59	196	3072
60	198	3060
61	201	3047
62	203	3030
63	207	3029
64	209	3018
65	212	3007
66	215	2994
67	217	2982
68	219	2968
69	221	2948
70	224	2931
71	227	2926
72	229	2911
73	232	2912
74	236	2912
75	238	2900
76	240	2887
77	243	2875
78	245	2859
79	247	2846
80	249	2836
81	252	2827
82	255	2820
83	257	2810
84	260	2800
85	262	2789
86	264	2776
87	267	2774
88	270	2768
89	273	2765
90	276	2763
91	279	2758
92	282	2757
93	285	2751
94	287	2740
95	290	2735
96	294	2743
97	298	2742
98	302	2757
99	306	2757
100	309	2751
101	311	2742
102	314	2737
103	319	2752
104	322	2751
105	325	2745
106	327	2737
107	332	2746
108	335	2741
109	337	2731
110	340	2727
111	343	2722
112	345	2713
113	348	2709
114	351	2701
115	354	2700
116	356	2690
117	358	2681
118	361	2674
119	364	2671
120	367	2666
121	369	2658
122	371	2650
123	374	2647
124	378	2646
125	380	2636
126	381	2620
127	384	2617
128	387	2616
129	390	2612
130	393	2613
131	396	2607
132	399	2601
133	401	2597
134	404	2589
135	406	2583
136	408	2574
137	412	2576
138	415	2574
139	417	2566
140	420	2561
141	423	2558
142	426	2554
143	428	2548
144	431	2544
145	433	2538
146	436	2533
147	448	2580
148	452	2583
149	456	2589
150	483	2719
151	487	2722
152	492	2724
153	494	2719
154	497	2711
155	499	2704
156	502	2698
157	505	2693
158	508	2690
159	510	2682
160	513	2674
161	515	2669
162	518	2662
163	521	2656
164	523	2651
165	527	2648
166	529	2641
167	532	2637
168	534	2628
169	537	2623
170	541	2623
171	543	2614
172	546	2613
173	549	2609
174	553	2610
175	556	2605
176	559	2600
177	562	2595
178	564	2590
179	567	2583
180	569	2578
181	571	2569
182	573	2562
183	578	2565
184	581	2563
185	584	2558
186	587	2552
187	589	2544
188	601	2581
189	603	2572
190	605	2565
191	608	2561
192	611	2556
193	613	2549
194	618	2552
195	620	2546
196	622	2538
197	627	2540
198	631	2541
199	633	2532
200	645	2566
201	664	2623
202	669	2628
203	675	2634
204	678	2632
205	684	2638
206	688	2637
207	696	2651
208	699	2647
209	702	2642
210	704	2633
211	706	2625
212	708	2619
213	710	2611
214	713	2606
215	716	2600
216	718	2594
217	722	2591
218	724	2583
219	727	2578
220	730	2573
221	731	2564
222	734	2559
223	736	2553
224	739	2548
225	742	2542
226	744	2534
227	746	2528
228	749	2522
229	751	2516
230	754	2510
231	756	2505
232	760	2502
233	763	2499
234	766	2495
235	769	2490
236	772	2488
237	775	2483
238	778	2478
239	783	2482
240	788	2484
241	792	2480
242	794	2476
243	798	2473
244	801	2470
245	806	2470
246	808	2464
247	810	2458
248	813	2452
249	817	2452
250	820	2449
251	823	2444
252	826	2439
253	829	2434
254	832	2432
255	835	2427
256	838	2424
257	841	2419
258	844	2414
259	846	2410
260	849	2406
261	853	2404
262	855	2397
263	857	2391
264	859	2384
265	861	2378
266	864	2372
267	867	2369
268	869	2363
269	873	2361
270	875	2354
271	877	2348
272	880	2344
273	882	2339
274	885	2335
275	890	2335
276	893	2332
277	896	2329
278	899	2323
279	901	2317
280	905	2318
281	908	2313
282	911	2310
283	914	2306
284	918	2303
285	922	2302
286	924	2297
287	927	2292
288	930	2288
289	932	2282
290	934	2277
291	937	2273
292	940	2269
293	942	2263
294	945	2260
295	948	2255
296	951	2253
297	954	2249
298	957	2245
299	960	2241
300	963	2238
301	966	2234
302	970	2233
303	974	2231
304	977	2228
305	980	2222
306	982	2216
307	984	2211
308	986	2205
309	988	2200
310	991	2196
311	994	2192
312	996	2187
313	1001	2187
314	1003	2183
315	1006	2178
316	1009	2175
317	1011	2169
318	1014	2165
319	1017	2162
320	1020	2157
321	1022	2153
322	1025	2150
323	1029	2147
324	1031	2142
325	1034	2139
326	1036	2133
327	1039	2129
328	1041	2124
329	1044	2120
330	1047	2117
331	1051	2115
332	1054	2111
333	1057	2108
334	1059	2103
335	1062	2100
336	1065	2096
337	1067	2091
338	1070	2086
339	1074	2084
340	1076	2080
341	1079	2077
342	1082	2074
343	1085	2069
344	1087	2065
345	1090	2061
346	1092	2056
347	1095	2053
348	1097	2048
349	1100	2043
350	1102	2039
351	1105	2035
352	1109	2033
353	1112	2030
354	1115	2027
355	1118	2023
356	1121	2020
357	1123	2015
358	1127	2014
359	1130	2009
360	1133	2006
361	1135	2001
362	1137	1996
363	1140	1992
364	1142	1988
365	1145	1984
366	1148	1980
367	1150	1976
368	1153	1972
369	1168	1989
370	1171	1985
371	1173	1981
372	1175	1976
373	1178	1973
374	1181	1969
375	1183	1964
376	1186	1961
377	1189	1958
378	1192	1954
379	1196	1952
380	1198	1947
381	1201	1943
382	1203	1938
383	1205	1934
384	1209	1931
385	1212	1928
386	1215	1925
387	1217	1920
388	1219	1915
389	1221	1910
390	1224	1907
391	1227	1904
392	1230	1900
393	1233	1896
394	1235	1891
395	1237	1887
396	1240	1883
397	1242	1879
398	1245	1876
399	1248	1872
400	1251	1869
401	1255	1868
402	1258	1864
403	1261	1861
404	1266	1860
405	1270	1858
406	1274	1856
407	1278	1855
408	1282	1852
409	1285	1849
410	1287	1845
411	1291	1842
412	1294	1839
413	1296	1835
414	1300	1833
415	1303	1829
416	1305	1825
417	1308	1822
418	1311	1818
419	1314	1814
420	1317	1811
421	1319	1807
422	1322	1803
423	1325	1800
424	1328	1796
425	1330	1793
426	1333	1789
427	1335	1785
428	1337	1780
429	1341	1778
430	1344	1774
431	1347	1771
432	1349	1767
433	1352	1763
434	1355	1760
435	1358	1756
436	1362	1754
437	1364	1751
438	1367	1746
439	1369	1743
440	1372	1739
441	1374	1735
442	1377	1731
443	1379	1728
444	1382	1724
445	1385	1721
446	1387	1716
447	1390	1713
448	1393	1709
449	1395	1705
450	1398	1702
451	1401	1698
452	1404	1695
453	1407	1692
454	1409	1688
455	1412	1685
456	1415	1681
457	1417	1677
458	1419	1673
459	1422	1669
460	1424	1665
461	1427	1661
462	1429	1658
463	1432	1654
464	1435	1651
465	1438	1648
466	1441	1644
467	1443	1641
468	1446	1637
469	1449	1634
470	1453	1632
471	1456	1629
472	1460	1626
473	1462	1623
474	1464	1619
475	1467	1614
476	1470	1612
477	1473	1608
478	1475	1604
479	1477	1601
480	1480	1597
481	1483	1593
482	1486	1590
483	1489	1587
484	1492	1585
485	1496	1583
486	1500	1580
487	1503	1577
488	1506	1574
489	1509	1570
490	1511	1567
491	1514	1564
492	1517	1560
493	1519	1556
494	1521	1552
495	1524	1549
496	1527	1545
497	1530	1542
498	1532	1538
499	1535	1535
500	1538	1532
501	1540	1528
502	1543	1524
503	1546	1521
504	1549	1518
505	1552	1515
506	1554	1511
507	1556	1507
508	1558	1503
509	1561	1500
510	1564	1497
511	1568	1494
512	1570	1490
513	1572	1486
514	1575	1483
515	1579	1481
516	1583	1478
517	1586	1476
518	1589	1472
519	1591	1469
520	1594	1466
521	1597	1463
522	1600	1459
523	1602	1455
524	1607	1454
525	1610	1450
526	1618	1452
527	1620	1449
528	1622	1444
529	1625	1441
530	1629	1439
531	1632	1436
532	1635	1433
533	1639	1430
534	1642	1427
535	1646	1425
536	1649	1422
537	1651	1418
538	1653	1414
539	1656	1410
540	1658	1406
541	1661	1404
542	1663	1400
543	1666	1396
544	1668	1393
545	1671	1389
546	1674	1386
547	1676	1382
548	1678	1379
549	1681	1375
550	1683	1371
551	1685	1368
